archive_dir,split,annotations_path,category_id,category_name_from_coco,count
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,23,23,56
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,1,1,55
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,8,8,55
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,9,9,55
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,13,13,55
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,16,16,55
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,18,18,55
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,20,20,55
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,21,21,55
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,24,24,55
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,26,26,55
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,2,2,54
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,4,4,54
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,7,7,54
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,10,10,54
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,15,15,54
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,17,17,54
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,25,25,54
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,3,3,53
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,5,5,53
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,11,11,53
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,12,12,53
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,14,14,53
_extracted/med,train,/home/user/Documents/PycharmProjects/MinSocFacesAI/R-CNN/dataset_builder/work/_extracted/med/translator_v1i_coco/train/_annotations.coco.json,19,19,53
